mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
201911	102191	550309	13061250	0.41	13061250	12791250	12845250	
201911	102191	169177	12956250	0.33	12862500	13043438	13007250	
201911	102191	851413	12281250	0.39	12033750	13172812	12945000	
201911	102191	449287	14797500	0.38	14681250	12435938	12885000	
201911	102191	409891	12903750	0.29	12412500	12977812	12864750	
201911	102191	771427	13890000	0.29	13890000	12608438	12864750	
201911	102191	566011	12761250	0.38	12648750	12944062	12885000	
201911	102191	733879	12465000	0.38	12266250	13039688	12885000	
201911	102191	742151	13177500	0.32	12952500	12885938	12899250	
201911	102191	410833	13481250	0.55	13230000	11187188	11595750	
201911	102191	235177	12671250	0.34	12671250	13025625	12954750	
201911	102191	141311	13972500	0.39	13811250	12728438	12945000	
201911	102191	276467	13657500	0.31	13657500	12692812	12885750	
201911	102191	230807	12161250	0.39	12048750	13169062	12945000	
201911	102191	525727	13001250	0.39	12933750	12947812	12945000	
201911	102191	705409	12735000	0.37	12596250	12885000	12827250	
201911	102191	259277	13368750	0.36	13368750	12765938	12886500	
201911	102191	230369	13113750	0.24	12900000	12495000	12576000	
201911	102191	296251	14092500	0.29	13886250	12609375	12864750	
201911	102191	116099	14748750	0.4	14703750	12470625	12917250	
201911	102191	428227	14565000	0.38	14542500	12470625	12885000	
201911	102191	586567	12975000	0.33	12975000	13015312	13007250	
201911	102191	157327	13155000	0.42	13110000	12526875	12643500	
201911	102191	556181	13747500	0.34	13507500	12816562	12954750	
201911	102191	462899	14178750	0.35	14178750	12637500	12945750	
201911	102191	862633	13661250	0.4	13638750	12736875	12917250	
